0	0.02271
0.2	0.03669
0.4	0.0439
0.6	0.04686
0.8	0.04821
1	0.04757
1.2	0.04858
1.4	0.04602
1.6	0.04448
1.8	0.04262
2	0.03976
2.2	0.03741
2.4	0.03668
2.6	0.0336
2.8	0.0323
3	0.03085
3.2	0.02812
3.4	0.02551
3.6	0.02396
3.8	0.02148
4	0.02129
4.2	0.01992
4.4	0.0173
4.6	0.01712
4.8	0.01547
5	0.01369
5.2	0.01333
5.4	0.01137
5.6	0.01137
5.8	0.0104
6	0.00932
6.2	0.00862
6.4	0.00757
6.6	0.00687
6.8	0.00656
7	0.00558
7.2	0.00586
7.4	0.0054
7.6	0.00475
7.8	0.00439
8	0.00403
8.2	0.00396
8.4	0.00368
8.6	0.00286
8.8	0.0026
9	0.00252
9.2	0.0022
9.4	0.00203
9.6	0.00209
9.8	0.00159
