0	0.00064
1	0.0009
2	0.00145
3	0.00172
4	0.00229
5	0.00318
6	0.0038
7	0.00522
8	0.00709
9	0.00839
10	0.00995
11	0.01274
12	0.01472
13	0.0188
14	0.02207
15	0.02488
16	0.02873
17	0.03261
18	0.0348
19	0.03882
20	0.04116
21	0.04416
22	0.04598
23	0.04612
24	0.04808
25	0.04819
26	0.04686
27	0.04589
28	0.04316
29	0.041
30	0.03873
31	0.03583
32	0.03195
33	0.02829
34	0.02374
35	0.02252
36	0.0182
37	0.01537
38	0.01313
39	0.01049
40	0.0095
41	0.00667
42	0.00549
43	0.00377
44	0.00312
45	0.00259
46	0.00174
47	0.00145
48	0.0008
49	0.00066
