0	0.00013
0.2	0.00099
0.4	0.00246
0.6	0.00416
0.8	0.00654
1	0.00897
1.2	0.01128
1.4	0.01377
1.6	0.01539
1.8	0.01774
2	0.01948
2.2	0.02071
2.4	0.02247
2.6	0.02336
2.8	0.02464
3	0.02572
3.2	0.02642
3.4	0.02593
3.6	0.02746
3.8	0.02715
4	0.02709
4.2	0.02672
4.4	0.02692
4.6	0.02625
4.8	0.02574
5	0.02529
5.2	0.02478
5.4	0.02359
5.6	0.02301
5.8	0.02231
6	0.02197
6.2	0.02152
6.4	0.0205
6.6	0.01923
6.8	0.01876
7	0.01796
7.2	0.01711
7.4	0.01652
7.6	0.01614
7.8	0.01474
8	0.015
8.2	0.01351
8.4	0.01265
8.6	0.01203
8.8	0.01179
9	0.01065
9.2	0.01003
9.4	0.01029
9.6	0.00916
9.8	0.00877
